ACCIDENT_YEAR,JURIS,COLLISION_DATE,COLLISION_TIME,DAY_OF_WEEK,CHP_SHIFT,INTERSECTION,WEATHER_1,WEATHER_2,STATE_HWY_IND,LOCATION_TYPE,RAMP_INTERSECTION,TOW_AWAY,COLLISION_SEVERITY,NUMBER_KILLED,NUMBER_INJURED,PARTY_COUNT,PRIMARY_COLL_FACTOR,PCF_CODE_OF_VIOL,PCF_VIOL_CATEGORY,PCF_VIOLATION,PCF_VIOL_SUBSECTION,HIT_AND_RUN,TYPE_OF_COLLISION,ROAD_SURFACE,ROAD_COND_1,ROAD_COND_2,LIGHTING,CONTROL_DEVICE,CHP_ROAD_TYPE,MOTORCYCLE_ACCIDENT,ALCOHOL_INVOLVED,STWD_VEHTYPE_AT_FAULT,CHP_VEHTYPE_AT_FAULT,COUNT_SEVERE_INJ,COUNT_VISIBLE_INJ,COUNT_COMPLAINT_PAIN,COUNT_MC_KILLED,COUNT_MC_INJURED,LATITUDE,LONGITUDE,COUNTY,CITY,POINT_X,POINT_Y,IS_WEEKEND,TIME_OF_DAY,SEVERE_FATAL
2021,1948,2021-03-19,30,5,5,N,A,-,N,,,N,4,0,1,2,A,-,03,22350.0,,N,C,A,H,-,C,A,0,Y,,A,01,0,0,1,0,1,34.06740188598633,-118.12290191650392,LOS ANGELES,MONTEREY PARK,-118.12290191650392,34.0677375793457,0,Night,0
2021,1969,2021-03-29,1607,1,5,Y,A,-,N,,,Y,2,0,1,2,A,-,09,21804.0,A,N,D,A,H,-,A,A,0,Y,,A,07,1,0,0,0,1,33.93804168701172,-118.19830322265624,LOS ANGELES,SOUTH GATE,-118.1982879638672,33.938026428222656,0,Evening,1
2021,1942,2021-04-03,1605,6,5,N,A,-,N,,,N,2,0,2,2,A,-,03,22350.0,,N,D,A,H,-,A,D,0,Y,,C,03,1,0,1,0,2,,,LOS ANGELES,LOS ANGELES,-118.24230194091795,34.12049102783203,1,Evening,1
2021,1933,2021-04-01,1033,4,5,Y,A,-,N,,,N,3,0,1,2,D,-,00,,,N,C,A,H,-,A,A,0,Y,,-,- ,0,1,0,0,1,33.9491081237793,-118.35263061523438,LOS ANGELES,INGLEWOOD,-118.3527374267578,33.94908142089844,0,Morning,0
2021,1942,2021-04-07,825,3,5,N,A,-,N,,,Y,2,0,1,2,A,-,09,21801.0,,N,D,A,H,-,A,D,0,Y,,A,01,1,0,0,0,1,,,LOS ANGELES,LOS ANGELES,-118.3765106201172,34.04582595825195,0,Morning,1
2021,1942,2021-04-07,20,3,5,N,A,-,N,,,N,4,0,1,2,A,-,03,22350.0,,F,C,A,H,-,C,A,0,Y,,-,99,0,0,1,0,1,,,LOS ANGELES,LOS ANGELES,-118.34755706787108,34.04031753540039,0,Night,0
2021,1942,2021-03-03,1130,3,5,Y,C,-,N,,,Y,2,0,2,2,A,-,09,21800.0,,N,D,B,H,-,A,B,0,Y,,-,- ,1,0,1,0,1,,,LOS ANGELES,LOS ANGELES,-118.42552947998048,34.00189971923828,0,Midday,1
2021,1942,2021-02-06,1630,6,5,N,A,-,N,,,Y,3,0,1,1,A,-,03,22350.0,,N,E,A,H,-,A,D,0,Y,,C,06,0,1,0,0,1,,,LOS ANGELES,LOS ANGELES,-118.36764526367188,34.129390716552734,1,Evening,0
2021,1942,2021-04-11,1515,7,5,N,A,-,N,,,N,2,0,1,2,A,-,21,22106.0,,N,E,A,H,-,A,D,0,Y,,C,03,1,0,0,0,1,,,LOS ANGELES,LOS ANGELES,-118.2051239013672,34.090553283691406,1,Midday,1
2021,1942,2021-04-10,2355,6,5,Y,A,-,N,,,Y,2,0,1,2,A,-,01,23152.0,,N,A,A,D,-,C,A,0,Y,Y,A,01,1,0,0,0,1,,,LOS ANGELES,LOS ANGELES,-118.44395446777344,34.076961517333984,1,Night,1
2021,1942,2021-04-10,824,6,5,N,A,-,N,,,Y,2,0,1,2,A,-,09,21804.0,,N,D,A,H,-,A,D,0,Y,,A,07,1,0,0,0,1,,,LOS ANGELES,LOS ANGELES,-118.36573028564452,34.054080963134766,1,Morning,1
